id	value
_usa_proud	5
_YvonneBurton	5
Zuliano73	5
ZomBKillinQueen	5
ZezeSwanson	5
WilliamSteedley	5
WendyJFluga28	5
WeThePeople4US	5
WTF__GOP	5
VikkiMorgz	5
Vernielu	5
ValerieMackey	5
Uskeus	5
UWantMyVote_Why	5
TweetingYarnie	5
Trutrust003	5
TruthinGov2016	5
TrutherForever	5
TruthDrivenLife	5
Trumpster4Trump	5
Trump__O	5
Trump_Reports	5
TribunePolitics	5
Trends_Zone	5
TorreyDuke	5
Tonyowe74144162	5
ToniC8	5
TommmyJefferson	5
TinaMorphis	5
TimGoodwin17	5
ThiaMonkey	5
ThetaIrewyk	5
Thedude67111	5
The_Win_Trump	5
The_Last_NewsPa	5
TheVoiceOfCalm	5
TheUSANews24h	5
TheDemCoalition	5
TheDailyDigest	5
TheBirkenhauer	5
TerrySechelski	5
TeenWolfPacks	5
TeeTweetsHere	5
TeamTrumpActive	5
TassajaraRd	5
Tamaraciocci	5
TRACEY63WEST	5
THE_ECB	5
StuckeyFreddy	5
StevenLovesUSA1	5
StacyHill_M4GA	5
Squashbloss2018	5
Skamama01	5
SirenitaNaga	5
SiddiqBashar	5
ShirleeWechsle5	5
SherriLison	5
ShellyKennisto1	5
Shalom555222	5
SeanSp1cer	5
Scrufey21Me	5
SarahJTV4	5
SaraRogers_M4GA	5
SandraKayWard3	5
Samwitchredtent	5
Sammie_Snickers	5
SaintBonobo	5
RudeBina	5
RowlandViki	5
RoseDaysey	5
RomaazM	5
RockstarBadBoy_	5
RockMetalKittyX	5
RobinBall1961	5
RkIndolia	5
RhinoAuklet	5
Rhiannnonn	5
Renee60832730	5
ReiserWilliam	5
RedPills4All171	5
RealSamMartin	5
RaucousRant	5
Ranirants1	5
Ralfoo7	5
REELNewsNet	5
PsicologaDra	5
ProudlyLiberal2	5
Primusfan87	5
PrestoForever	5
PoppySpud	5
Politcswatch	5
PhyllisHart16	5
PhukTu	5
PennieCamden	5
Penguincharto	5
Paulhardingjr	5
PatriotNewsUSA	5
Patrici18673212	5
PascoRevolution	5
PakistanSadaqat	5
POTUSTRUMP6	5
OldestguyJoe	5
OccupyRadio3	5
OccuWorld	5
OMAHAGEMGIRL	5
OCAmericans	5
NunyaBidness2	5
Nunnie1951	5
NozNewz_com	5
Novel13jw	5
Nord_Eh	5
NoTrump4me	5
NoThiefs	5
NingaGinja	5
NikoTheFarmer	5
Nikkittanikki	5
NikitaKitty	5
NewsyNewsworld	5
NewsRepublicans	5
New_Narrative	5
NevvaH8n	5
NettiePearl01	5
Neorustbeltrepu	5
Nathani45077757	5
Nathalia_Dep	5
NancyChadbourne	5
NanaP40644702	5
NFC_Currency	5
NBA_BobcatsFans	5
MyLiveStudioFB	5
Mschade2020	5
MrsMalindo	5
MrDane1982	5
MrConnieS	5
Moteatra	5
MorBeeK	5
MoodyliciousSpa	5
MissiTrahan	5
MiriamDeaza	5
Mindpollution3	5
Mike_PenceMEGA	5
MeshellyGeorge	5
MercerBaylissK	5
MelinaCopper	5
Meeeedge	5
Mediavor_com	5
McneJames	5
MatiasFmatias	5
MarySkerr	5
MaryKeithBare1	5
MaryGoettsch	5
MaryAKoontz	5
MartinMcCoyIII	5
MarkopoloXYZ	5
MarieTitus9	5
MarianneHarden	5
MariannBenway	5
MarianaTrump	5
MargosunC	5
MamaBear64	5
MadameSnowflake	5
MadZinger12	5
MTWGeorge	5
MOMS4TRUMP	5
MJP1370	5
MJGarciaKCMO	5
MDVnaseer	5
LuzMaryCardona5	5
Luxordus	5
LucindaWolinski	5
LovelyLowEnd	5
LorraineJDion	5
Lorileereed	5
LoraDKiser	5
LindaMo60594098	5
LindaCollins11	5
LiberalAnna	5
Len21878832	5
Leliafrz	5
LauraWilsonGal	5
LagrowJamie	5
LTGRIGSBY	5
KristinAndrene	5
Kristen_MAGA_US	5
KoltovskoyYakov	5
KnowYourLeakGuy	5
KellsBooks	5
Kegan05	5
KatCeccotti	5
K_Creations	5
KAFosterSowell	5
Justcivility	5
JrcheneyJohn	5
Joel_Schaffer	5
JoeWatchesTV	5
JoeMama1986	5
JoeFreedomLove	5
Jodzio	5
Jlhrdhcotuit	5
JirwemTheGreat	5
Jerzygma	5
Jennife25483821	5
JennStitts	5
Jedi_Pite_Bre	5
JanieceStaton	5
JadeDeplorable	5
Jacquel78403333	5
JackieJackielg	5
JJohnson2u	5
IzJustMyOpinion	5
Ivan_lvanovich	5
ItsTheNewLeft	5
InxsyS	5
InvestingLatest	5
In4mdCndn	5
ImChrisCallaway	5
IWishItWas2020	5
ILoveBernie1	5
IAmMiMiG	5
Hsewvs_n_pols	5
HotNostrilsrFun	5
HeyNikki1	5
